Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,82.449997,82.550003,80.809998,82.059998,56.345589,11715100
2006-01-04,82.199997,82.500000,81.330002,81.949997,56.270054,9832800
2006-01-05,81.400002,82.900002,81.250000,82.500000,56.647705,7213400
2006-01-06,83.949997,85.029999,83.410004,84.949997,58.329998,8196900
2006-01-09,83.900002,84.250000,83.379997,83.730003,57.492287,6851100
2006-01-10,83.150002,84.120003,83.120003,84.070000,57.725742,5700000
2006-01-11,84.370003,84.809998,83.400002,84.169998,57.794376,5776400
2006-01-12,83.820000,83.959999,83.400002,83.570000,57.382401,4924100
2006-01-13,83.000000,83.449997,82.500000,83.169998,57.107738,6921600
2006-01-17,82.800003,83.160004,82.540001,83.000000,56.991024,8718400
2006-01-18,84.000000,84.699997,83.519997,83.800003,57.540337,10984800
2006-01-19,84.139999,84.389999,83.019997,83.089996,57.052826,6483500
2006-01-20,83.040001,83.050003,81.250000,81.360001,55.864933,8605800
2006-01-23,81.330002,81.919998,80.919998,81.410004,55.899273,6114100
2006-01-24,81.389999,82.150002,80.800003,80.849998,55.514740,6069000
2006-01-25,81.050003,81.620003,80.610001,80.910004,55.555958,6374300
2006-01-26,81.500000,81.650002,80.589996,80.720001,55.425495,7810200
2006-01-27,80.750000,81.769997,80.750000,81.019997,55.631470,6103400
2006-01-30,80.209999,81.809998,80.209999,81.629997,56.050343,5325100
2006-01-31,81.500000,82.000000,81.169998,81.300003,55.823738,6771600
2006-02-01,80.900002,82.239998,80.650002,81.940002,56.263180,5419300
2006-02-02,81.449997,81.589996,80.900002,81.230003,55.775677,6198000
2006-02-03,80.550003,80.769997,79.720001,79.970001,54.910507,9852000
2006-02-06,79.940002,79.949997,78.930000,79.510002,54.594673,9568500
2006-02-07,79.500000,80.190002,79.300003,79.849998,54.828114,5247300
2006-02-08,80.580002,80.900002,80.239998,80.800003,55.619724,5029200
2006-02-09,80.400002,80.800003,79.500000,80.400002,55.344383,7609200
2006-02-10,80.400002,81.459999,80.199997,81.330002,55.984577,5371900
2006-02-13,81.330002,81.910004,80.180000,80.440002,55.371922,5257400
2006-02-14,80.550003,81.449997,80.349998,81.089996,55.819359,6075500
2006-02-15,80.860001,81.500000,80.500000,80.849998,55.654148,5052000
2006-02-16,80.680000,80.910004,80.129997,80.910004,55.695465,5310500
2006-02-17,80.910004,81.029999,80.129997,80.709999,55.557770,5298800
2006-02-21,80.099998,80.750000,79.970001,80.500000,55.413219,5838000
2006-02-22,80.000000,81.650002,79.970001,81.349998,55.998333,5294300
2006-02-23,81.199997,81.339996,80.040001,80.199997,55.206711,4979400
2006-02-24,80.650002,80.650002,79.849998,80.099998,55.137871,3903200
2006-02-27,79.970001,80.889999,79.949997,80.629997,55.502720,3787000
2006-02-28,80.099998,80.550003,79.709999,80.239998,55.234249,5960700
2006-03-01,80.199997,80.809998,79.779999,79.900002,55.000202,5172300
2006-03-02,79.550003,80.209999,79.540001,79.940002,55.027744,4418800
2006-03-03,79.510002,80.830002,79.510002,79.959999,55.041496,4354400
2006-03-06,79.910004,80.639999,79.900002,80.000000,55.069038,4709500
2006-03-07,80.010002,80.790001,79.860001,80.290001,55.268669,4330800
2006-03-08,80.250000,81.599998,80.250000,81.139999,55.853783,5569900
2006-03-09,81.260002,81.980003,80.800003,81.019997,55.771164,4310700
2006-03-10,81.029999,82.250000,81.029999,81.570000,56.149750,4787200
2006-03-13,81.559998,82.400002,81.449997,81.930000,56.397587,4571400
2006-03-14,81.510002,82.989998,81.470001,82.879997,57.051529,4518000
2006-03-15,82.650002,83.760002,82.639999,83.379997,57.395718,5370400
2006-03-16,83.430000,83.720001,82.610001,82.870003,57.044651,4299500
2006-03-17,83.349998,83.410004,82.820000,83.300003,57.340630,6414400
